Timestamp,Node,Thickness_mm,Temperature_C,Vibration_m_s2,Moisture_percent,Pressure_hPa
2026-09-21 10:14:00,N04,99.2,123,0.32,17,1018
2026-09-21 10:14:10,N04,99.08,125,0.35,18,1017
2026-09-21 10:14:20,N04,98.95,127,0.38,19,1017
2026-09-21 10:14:30,N04,98.82,129,0.42,21,1016
2026-09-21 10:14:40,N04,98.68,131,0.47,24,1015
2026-09-21 10:14:50,N04,98.54,133,0.53,28,1014
2026-09-21 10:15:00,N04,98.39,135,0.6,33,1013
2026-09-21 10:15:10,N04,98.24,137,0.68,38,1012
2026-09-21 10:15:20,N04,98.08,139,0.77,43,1011
2026-09-21 10:15:30,N04,97.91,141,0.86,48,1010
2026-09-21 10:15:40,N04,97.74,143,0.96,53,1009
2026-09-21 10:15:50,N04,97.56,145,1.07,58,1008
2026-09-21 10:16:00,N04,97.36,147,1.19,63,1007
2026-09-21 10:16:10,N04,97.16,149,1.32,68,1006
2026-09-21 10:16:20,N04,96.86,151,1.46,73,1005
2026-09-21 10:16:30,N04,96.54,153,1.61,78,1004
