Node,Thickness_mm,Temperature_C,Vibration_m_s2,Moisture_percent,Pressure_hPa,PipeType,Thickness Warning,Thickness Critical,Temperature,Vibration,Moisture,Pressure
N01,48.15,71.3,0.79,75,1002,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,48.02,72,0.86,79,1001,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,47.88,72.6,0.94,83,1000,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,47.73,73.2,1.02,87,999,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N02,65.18,35.2,0.12,18,1014,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,65.09,35.8,0.14,19,1015,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,65.01,36.4,0.13,20,1014,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,64.93,36.9,0.15,21,1015,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,64.84,37.5,0.16,22,1014,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,64.75,38,0.17,23,1013,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,64.66,38.6,0.18,24,1014,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,64.56,39.1,0.19,25,1013,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,64.45,39.7,0.2,26,1014,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,64.34,40.3,0.21,27,1013,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,64.23,40.8,0.23,29,1012,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,64.11,41.4,0.25,31,1012,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,63.99,42,0.27,34,1011,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,63.86,42.6,0.29,37,1010,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,63.73,43.2,0.32,40,1009,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,63.59,43.8,0.35,44,1008,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,63.45,44.4,0.38,48,1007,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,63.3,45,0.42,52,1006,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,63.14,45.6,0.46,57,1005,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,62.98,46.2,0.51,62,1004,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,62.81,46.8,0.56,67,1003,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,62.63,47.4,0.62,72,1002,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,62.44,48,0.68,78,1001,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,62.23,48.6,0.75,84,1000,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N02,61.99,49.2,0.82,90,999,Galvanized Steel,<63.0 mm,< 61.5 mm,> 45 C,> 0.50 m/s,> 60 %,< 1005 hPa
N03,80.14,68.2,0.11,12,1018,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,80.04,69,0.13,13,1019,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,79.95,69.8,0.12,14,1018,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,79.86,70.5,0.14,15,1019,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,79.77,71.2,0.15,14,1018,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,79.67,72,0.16,16,1017,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,79.57,72.8,0.17,17,1018,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,79.46,73.5,0.18,16,1017,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,79.35,74.2,0.19,18,1018,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,79.24,75,0.2,19,1017,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,79.12,76.1,0.22,20,1016,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,78.99,77,0.24,21,1016,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,78.86,78.2,0.27,23,1015,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,78.72,79.5,0.31,25,1015,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,78.58,81,0.36,28,1014,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,78.43,82.2,0.42,31,1013,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,78.28,83.5,0.49,34,1012,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,78.12,85,0.57,37,1011,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,77.95,86.2,0.66,40,1010,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,77.77,87.5,0.75,43,1009,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,77.58,89,0.86,46,1008,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,77.38,90.5,0.98,50,1007,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,77.18,92,1.1,54,1006,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,76.99,94,1.23,59,1005,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N03,76.8,97,1.37,64,1004,Stainless Steel,< 78.0 mm,< 76.5 mm,> 85 C,> 0.60 m/s,> 40 %,< 1005 hPa
N04,100.18,105,0.2,10,1020,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,100.08,107,0.22,11,1021,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,99.98,109,0.21,12,1020,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,99.88,111,0.24,12,1021,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,99.77,113,0.23,13,1020,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,99.66,115,0.26,14,1019,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,99.55,117,0.28,15,1020,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,99.44,119,0.3,15,1019,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,99.32,121,0.29,16,1018,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,99.2,123,0.32,17,1018,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,99.08,125,0.35,18,1017,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,98.95,127,0.38,19,1017,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,98.82,129,0.42,21,1016,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,98.68,131,0.47,24,1015,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,98.54,133,0.53,28,1014,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,98.39,135,0.6,33,1013,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,98.24,137,0.68,38,1012,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,98.08,139,0.77,43,1011,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,97.91,141,0.86,48,1010,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,97.74,143,0.96,53,1009,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,97.56,145,1.07,58,1008,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,97.36,147,1.19,63,1007,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,97.16,149,1.32,68,1006,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,96.86,151,1.46,73,1005,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
N04,96.54,153,1.61,78,1004,Alloy Steel,< 98.0 mm,< 96.5 mm,> 140 C,> 0.80 m/s,> 40 %,< 1005 hPa
